,word,ort,pho_large,pho_small,condition,img,wf
0,blance,_bla_nce__,_blens____,_bl@ns____,unambiguous,0,0
1,brance,_bra_nce__,_brens____,_br@ns____,unambiguous,0,0
2,crance,_cra_nce__,_krens____,_kr@ns____,unambiguous,0,0
3,drance,_dra_nce__,_drens____,_dr@ns____,unambiguous,0,0
4,quance,_qua_nce__,_kwens____,_kw@ns____,unambiguous,0,0
5,sance,__sa_nce__,__sens____,__s@ns____,unambiguous,0,0
6,shance,_sha_nce__,_shens____,__S@ns____,unambiguous,0,0
7,slance,_sla_nce__,_slens____,_sl@ns____,unambiguous,0,0
8,snance,_sna_nce__,_snens____,_sn@ns____,unambiguous,0,0
9,spance,_spa_nce__,_spens____,_sp@ns____,unambiguous,0,0
10,blange,_bla_nge__,_blenJ____,_bl@nJ____,ambiguous,0,0
11,brange,_bra_nge__,_brenJ____,_br@nJ____,ambiguous,0,0
12,crange,_cra_nge__,_krenJ____,_kr@nJ____,ambiguous,0,0
13,drange,_dra_nge__,_drenJ____,_dr@nJ____,ambiguous,0,0
14,quange,_qua_nge__,_kwenJ____,_kw@nJ____,ambiguous,0,0
15,sange,__sa_nge__,__senJ____,__s@nJ____,ambiguous,0,0
16,shange,_sha_nge__,__SenJ____,__S@nJ____,ambiguous,0,0
17,slange,_sla_nge__,_slenJ____,_sl@nJ____,ambiguous,0,0
18,snange,_sna_nge__,_snenJ____,_sn@nJ____,ambiguous,0,0
19,spange,_spa_nge__,_spenJ____,_sp@nJ____,ambiguous,0,0
20,frand,_fra_nd___,_frand____,_fr@nd____,unambiguous,0,0
21,nand,__na_nd___,__nand____,__n@nd____,unambiguous,0,0
22,shand,_sha_nd___,__Sand____,__S@nd____,unambiguous,0,0
23,tand,__ta_nd___,__tand____,__t@nd____,unambiguous,0,0
24,yand,__ya_nd___,__yand____,__y@nd____,unambiguous,0,0
25,dant,__da_nt___,__dant____,__d@nt____,unambiguous,0,0
26,frant,_fra_nt___,_frant____,_fr@nt____,unambiguous,0,0
27,nant,__na_nt___,__nant____,__n@nt____,unambiguous,0,0
28,prant,_pra_nt___,_prant____,_pr@nt____,unambiguous,0,0
29,tant,__ta_nt___,__tant____,__t@nt____,unambiguous,0,0
30,dald,__da_ld___,__dald____,__d@ld____,ambiguous,0,0
31,frald,_fra_ld___,_frald____,_fr@ld____,ambiguous,0,0
32,nald,__na_ld___,__nald____,__n@ld____,ambiguous,0,0
33,shald,_sha_ld___,__Sald____,__S@ld____,ambiguous,0,0
34,tald,__ta_ld___,__tald____,__t@ld____,ambiguous,0,0
35,yald,__ya_ld___,__yald____,__y@ld____,ambiguous,0,0
36,fralt,_fra_lt___,_fralt____,_fr@lt____,ambiguous,0,0
37,nalt,__na_lt___,__nalt____,__n@lt____,ambiguous,0,0
38,pralt,_pra_lt___,_pralt____,_pr@lt____,ambiguous,0,0
39,talt,__ta_lt___,__talt____,__t@lt____,ambiguous,0,0
40,spleab,spleab____,splEb_____,splib_____,unambiguous,0,0
41,yeab,__yeab____,__yEb_____,__yib_____,unambiguous,0,0
42,cheal,_cheal____,__CEl_____,__Cil_____,unambiguous,0,0
43,preal,_preal____,_prEl_____,_pril_____,unambiguous,0,0
44,streal,streal____,strEl_____,stril_____,unambiguous,0,0
45,cleam,_cleam____,_klEm_____,_klim_____,unambiguous,0,0
46,queam,_queam____,_kwEm_____,_kwim_____,unambiguous,0,0
47,squean,squean____,skwEn_____,skwin_____,unambiguous,0,0
48,swean,_swean____,_swEn_____,_swin_____,unambiguous,0,0
49,gleap,_gleap____,_glEp_____,_glip_____,unambiguous,0,0
50,chead,_chead____,__CEd_____,__Cid_____,ambiguous,0,0
51,clead,_clead____,_klEd_____,_klid_____,ambiguous,0,0
52,glead,_glead____,_glEd_____,_glid_____,ambiguous,0,0
53,pread,_pread____,_prEd_____,_prid_____,ambiguous,0,0
54,quead,_quead____,_kwEd_____,_kwid_____,ambiguous,0,0
55,splead,splead____,splEd_____,splid_____,ambiguous,0,0
56,squead,squead____,skwEd_____,skwid_____,ambiguous,0,0
57,stread,stread____,strEd_____,strid_____,ambiguous,0,0
58,swead,_swead____,_swEd_____,_swid_____,ambiguous,0,0
59,yead,__yead____,__yEd_____,__yid_____,ambiguous,0,0
60,brilt,_bri_lt___,_brAlt____,_brIlt____,unambiguous,0,0
61,snilt,_sni_lt___,_snAlt____,_snIlt____,unambiguous,0,0
62,swilt,_swi_lt___,_swAlt____,_swIlt____,unambiguous,0,0
63,ilt,___i_lt___,___Alt____,___Ilt____,unambiguous,0,0
64,chint,_chi_nt___,__CAnt____,__CInt____,unambiguous,0,0
65,crint,_cri_nt___,_krAnt____,_krInt____,unambiguous,0,0
66,drint,_dri_nt___,_drAnt____,_drInt____,unambiguous,0,0
67,shrint,shri_nt___,_SrAnt____,_SrInt____,unambiguous,0,0
68,slint,_sli_nt___,_slAnt____,_slInt____,unambiguous,0,0
69,smint,_smi_nt___,_smAnt____,_smInt____,unambiguous,0,0
70,brild,_bri_ld___,_brAld____,_brIld____,ambiguous,0,0
71,snild,_sni_ld___,_snAld____,_snIld____,ambiguous,0,0
72,swild,_swi_ld___,_swAld____,_swIld____,ambiguous,0,0
73,ild,___i_ld___,___Ald____,___Ild____,ambiguous,0,0
74,chind,_chi_nd___,__CAnd____,__CInd____,ambiguous,0,0
75,crind,_cri_nd___,_krAnd____,_krInd____,ambiguous,0,0
76,drind,_dri_nd___,_drAnd____,_drInd____,ambiguous,0,0
77,shrind,shri_nd___,_SrAnd____,_SrInd____,ambiguous,0,0
78,slind,_sli_nd___,_slAnd____,_slInd____,ambiguous,0,0
79,smind,_smi_nd___,_smAnd____,_smInd____,ambiguous,0,0
80,brond,_bro_nd___,_brond____,_brand____,unambiguous,0,0
81,chond,_cho_nd___,__Cond____,__Cand____,unambiguous,0,0
82,crond,_cro_nd___,_krond____,_krand____,unambiguous,0,0
83,jond,__jo_nd___,__Jond____,__Jand____,unambiguous,0,0
84,prond,_pro_nd___,_prond____,_prand____,unambiguous,0,0
85,gont,__go_nt___,__gont____,__gant____,unambiguous,0,0
86,nont,__no_nt___,__nont____,__nant____,unambiguous,0,0
87,pont,__po_nt___,__pont____,__pant____,unambiguous,0,0
88,ront,__ro_nt___,__ront____,__rant____,unambiguous,0,0
89,sont,__so_nt___,__sont____,__sant____,unambiguous,0,0
90,brold,_bro_ld___,_brold____,_brald____,ambiguous,0,0
91,chold,_cho_ld___,__Cold____,__Cald____,ambiguous,0,0
92,crold,_cro_ld___,_krold____,_krald____,ambiguous,0,0
93,jold,__jo_ld___,__Jold____,__Jald____,ambiguous,0,0
94,prold,_pro_ld___,_prold____,_prald____,ambiguous,0,0
95,golt,__go_lt___,__golt____,__galt____,ambiguous,0,0
96,nolt,__no_lt___,__nolt____,__nalt____,ambiguous,0,0
97,polt,__po_lt___,__polt____,__palt____,ambiguous,0,0
98,rolt,__ro_lt___,__rolt____,__ralt____,ambiguous,0,0
99,solt,__so_lt___,__solt____,__salt____,ambiguous,0,0
100,cloom,_cloom____,_klUm_____,_klum_____,unambiguous,0,0
101,poom,__poom____,__pUm_____,__pum_____,unambiguous,0,0
102,proom,_proom____,_prUm_____,_prum_____,unambiguous,0,0
103,sloom,_sloom____,_slUm_____,_slum_____,unambiguous,0,0
104,bloon,_bloon____,_blUn_____,_blun_____,unambiguous,0,0
105,droon,_droon____,_drUn_____,_drun_____,unambiguous,0,0
106,gloon,_gloon____,_glUn_____,_glun_____,unambiguous,0,0
107,groon,_groon____,_grUn_____,_grun_____,unambiguous,0,0
108,ploon,_ploon____,_plUn_____,_plun_____,unambiguous,0,0
109,troon,_troon____,_trUn_____,_trun_____,unambiguous,0,0
110,blook,_blook____,_blUk_____,_bluk_____,ambiguous,0,0
111,clook,_clook____,_klUk_____,_kluk_____,ambiguous,0,0
112,drook,_drook____,_drUk_____,_druk_____,ambiguous,0,0
113,glook,_glook____,_glUk_____,_gluk_____,ambiguous,0,0
114,grook,_grook____,_grUk_____,_gruk_____,ambiguous,0,0
115,pook,__pook____,__pUk_____,__puk_____,ambiguous,0,0
116,plook,_plook____,_plUk_____,_pluk_____,ambiguous,0,0
117,prook,_prook____,_prUk_____,_pruk_____,ambiguous,0,0
118,slook,_slook____,_slUk_____,_sluk_____,ambiguous,0,0
119,trook,_trook____,_trUk_____,_truk_____,ambiguous,0,0
