"Word","List","Case","Type","Response","Response_Type","Response.Noam","phoneme1","phoneme2","phoneme3","phoneme4","phoneme5","phoneme6","response_clean_old","response_clean_new"
"crold","Tr03","VC5","E","c_k_ r_r_ o_ou_  l_5_ d_d_","ALT_RESPONSE","c_k_ r_r_ o_ou_  l_5_ d_d_","k","r","ou","5","d","","krou5d","kr85d"
"jold","Tr03","VC5","E","j_dZ_ o_ou_  l_5_ d_d_","ALT_RESPONSE","j_dZ_ o_ou_  l_5_ d_d_","dZ","ou","5","d","","","dZou5d","J85d"
"prold","Tr03","VC5","E","p_p_ r_r_ o_ou_  l_5_ d_d_","ALT_RESPONSE","p_p_ r_r_ o_ou_  l_5_ d_d_","p","r","ou","5","d","","prou5d","pr85d"
"golt","Tr03","VC5","E","g_g_ o_ou_  l_5_ t_t_","ALT_RESPONSE","g_g_ o_ou_  l_5_ t_t_","g","ou","5","t","","","gou5t","g85t"
"nolt","Tr03","VC5","E","n_n_ o_ou_  l_5_ t_t_","ALT_RESPONSE","n_n_ o_ou_  l_5_ t_t_","n","ou","5","t","","","nou5t","n85t"
"polt","Tr03","VC5","E","p_p_ r_r_ o_ou_  l_5_ t_t_","ALT_RESPONSE","p_p_ r_r_ o_ou_  l_5_ t_t_","p","r","ou","5","t","","prou5t","pr85t"
"rolt","Tr03","VC5","E","r_r_ o_ou_  l_5_ t_t_","ALT_RESPONSE","r_r_ o_ou_  l_5_ t_t_","r","ou","5","t","","","rou5t","r85t"
"solt","Tr03","VC5","E","s_s_ o_ou_  l_5_ t_t_","ALT_RESPONSE","s_s_ o_ou_  l_5_ t_t_","s","ou","5","t","","","sou5t","s85t"
"cloom","Tr03","VC6","C","c_k_ l_l_ oo_U m_m_","ALT_RESPONSE","c_k_ l_l_ oo_U_ m_m_","k","l","U","m","","","klUm","klUm"
"poom","Tr03","VC6","C","p_p_ oo_U m_m_","ALT_RESPONSE","p_p_ oo_U_ m_m_","p","U","m","","","","pUm","pUm"
"proom","Tr03","VC6","C","p_p_ r_r_ oo_U m_m_","ALT_RESPONSE","p_p_ r_r_ oo_U_ m_m_","p","r","U","m","","","prUm","prUm"
"sloom","Tr03","VC6","C","s_s_ l_l_ oo_U m_m_","ALT_RESPONSE","s_s_ l_l_ oo_U_ m_m_","s","l","U","m","","","slUm","slUm"
"bloon","Tr03","VC6","C","b_b_ l_l_ oo_U n_n_","ALT_RESPONSE","b_b_ l_l_ oo_U_ n_n_","b","l","U","n","","","blUn","blUn"
"droon","Tr03","VC6","C","d_d_ r_r_ oo_U n_n_","ALT_RESPONSE","d_d_ r_r_ oo_U_ n_n_","d","r","U","n","","","drUn","drUn"
"gloon","Tr03","VC6","C","g_g_ l_l_ oo_U n_n_","ALT_RESPONSE","g_g_ l_l_ oo_U_ n_n_","g","l","U","n","","","glUn","glUn"
"groon","Tr03","VC6","C","g_g_ r_r_ oo_U n_n_","ALT_RESPONSE","g_g_ r_r_ oo_U_ n_n_","g","r","U","n","","","grUn","grUn"
"ploon","Tr03","VC6","C","p_p_ l_l_ oo_U n_n_","ALT_RESPONSE","p_p_ l_l_ oo_U_ n_n_","p","l","U","n","","","plUn","plUn"
"troon","Tr03","VC6","C","t_t_ r_r_  oo_U n_n_","ALT_RESPONSE","t_t_ r_r_  oo_U_ n_n_","t","r","U","n","","","trUn","trUn"
"blook","Tr03","VC6","E","b_b_ l_l_ oo_U k_k_","ALT_RESPONSE","b_b_ l_l_ oo_U_ k_k_","b","l","U","k","","","blUk","blUk"
"clook","Tr03","VC6","E","c_k_ l_l_ oo_U k_k_","ALT_RESPONSE","c_k_ l_l_ oo_U_ k_k_","k","l","U","k","","","klUk","klUk"
"drook","Tr03","VC6","E","d_d_ r_r_ oo_U k_k_","ALT_RESPONSE","d_d_ r_r_ oo_U_ k_k_","d","r","U","k","","","drUk","drUk"
"glook","Tr03","VC6","E","g_g_ l_l_ oo_U k_k_","ALT_RESPONSE","g_g_ l_l_ oo_U_ k_k_","g","l","U","k","","","glUk","glUk"
"grook","Tr03","VC6","E","g_g_ r_r_ oo_U k_k_","ALT_RESPONSE","g_g_ r_r_ oo_U_ k_k_","g","r","U","k","","","grUk","grUk"
"pook","Tr03","VC6","E","p_p_ oo_U k_k_","ALT_RESPONSE","p_p_ oo_U_ k_k_","p","U","k","","","","pUk","pUk"
"plook","Tr03","VC6","E","p_p_ l_l_ oo_U k_k_","ALT_RESPONSE","p_p_ l_l_ oo_U_ k_k_","p","l","U","k","","","plUk","plUk"
"prook","Tr03","VC6","E","p_p_ r_r_ oo_U k_k_","ALT_RESPONSE","p_p_ r_r_ oo_U_ k_k_","p","r","U","k","","","prUk","prUk"
"slook","Tr03","VC6","E","s_s_ l_l_ oo_U k_k_","ALT_RESPONSE","s_s_ l_l_ oo_U_ k_k_","s","l","U","k","","","slUk","slUk"
"trook","Tr03","VC6","E","t_t_ r_r_ oo_U k_k_","ALT_RESPONSE","t_t_ r_r_ oo_U_ k_k_","t","r","U","k","","","trUk","trUk"
"  fesh","Tr90",NA,"H","f_f_  e_E_ sh_S_","CORR_RESPONSE","f_f_  e_E_ sh_S_","f","E","S","","","","fES","fES"
"  fip","Tr90",NA,"H","f_f_  i_I_ p_p_","CORR_RESPONSE","f_f_  i_I_ p_p_","f","I","p","","","","fIp","fIp"
"  foop","Tr90",NA,"H","f_f_  oo_u_ p_p_","CORR_RESPONSE","f_f_  oo_u_ p_p_","f","u","p","","","","fup","fup"
"  foud","Tr90",NA,"H","f_f_   ou_aU_ d_d_","CORR_RESPONSE","f_f_   ou_aU_ d_d_","f","aU","d","","","","faUd","f7d"
"  goach","Tr90",NA,"H","g_g_   oa_ou_ ch_tS_","CORR_RESPONSE","g_g_   oa_ou_ ch_tS_","g","ou","tS","","","","goutS","g8Q"
"  hain","Tr90",NA,"H","h_h_   ai_e_ n_n_","CORR_RESPONSE","h_h_   ai_e_ n_n_","h","e","n","","","","hen","hen"
"  joal","Tr90",NA,"H","j_dZ_   oa_ou_ l_5_","CORR_RESPONSE","j_dZ_   oa_ou_ l_5_","dZ","ou","5","","","","dZou5","J85"
"  jub","Tr90",NA,"H","j_dZ_   u_V_ b_b_","CORR_RESPONSE","j_dZ_   u_V_ b_b_","dZ","V","b","","","","dZVb","JVb"
"  juck","Tr90",NA,"H","j_dZ_    u_V_ ck_k_","CORR_RESPONSE","j_dZ_    u_V_ ck_k_","dZ","V","k","","","","dZVk","JVk"
"  lef","Tr90",NA,"H","l_l_   e_E_ f_f_","CORR_RESPONSE","l_l_   e_E_ f_f_","l","E","f","","","","lEf","lEf"
"  losh","Tr90",NA,"H","l_l_   o_A_ sh_S_","CORR_RESPONSE","l_l_   o_A_ sh_S_","l","A","S","","","","lAS","lAS"
"  lum","Tr90",NA,"H","l_l_  u_V_ m_m_","CORR_RESPONSE","l_l_  u_V_ m_m_","l","V","m","","","","lVm","lVm"
"  meep","Tr90",NA,"H","m_m_  ee_i_ p_p_","CORR_RESPONSE","m_m_  ee_i_ p_p_","m","i","p","","","","mip","mip"
"  peef","Tr90",NA,"H","p_p_   ee_i_ f_f_","CORR_RESPONSE","p_p_   ee_i_ f_f_","p","i","f","","","","pif","pif"
"  pog","Tr90",NA,"H","p_p_   o_A_ g_g_","CORR_RESPONSE","p_p_   o_A_ g_g_","p","A","g","","","","pAg","pAg"
"  sug","Tr90",NA,"H","s_s_  u_V_ g_g_","CORR_RESPONSE","s_s_  u_V_ g_g_","s","V","g","","","","sVg","sVg"
"  tain","Tr90",NA,"H","t_t_  ai_e_ n_n_","CORR_RESPONSE","t_t_  ai_e_ n_n_","t","e","n","","","","ten","ten"
"  vag","Tr90",NA,"H","v_v_   a_a_ g_g_","CORR_RESPONSE","v_v_   a_a_ g_g_","v","a","g","","","","vag","vag"
"  veed","Tr90",NA,"H","v_v_  ee_i_ d_d_","CORR_RESPONSE","v_v_  ee_i_ d_d_","v","i","d","","","","vid","vid"
"  vess","Tr90",NA,"H","v_v_  e_E_ ss_s_","CORR_RESPONSE","v_v_  e_E_ ss_s_","v","E","s","","","","vEs","vEs"
"  yoal","Tr90",NA,"H","y_j_   oa_ou_ l_5_","CORR_RESPONSE","y_j_   oa_ou_ l_5_","j","ou","5","","","","jou5","j85"
" chail","Tr90",NA,"H","ch_tS_   ai_e_ l_5_","CORR_RESPONSE","ch_tS_   ai_e_ l_5_","tS","e","5","","","","tSe5","Qe5"
" cheed","Tr90",NA,"H","ch_tS_  ee_i_ d_d_","CORR_RESPONSE","ch_tS_  ee_i_ d_d_","tS","i","d","","","","tSid","Qid"
" chob","Tr90",NA,"H","ch_tS_  o_A_ b_b_","CORR_RESPONSE","ch_tS_  o_A_ b_b_","tS","A","b","","","","tSAb","QAb"
"  fep","Tr90",NA,"L","f_f_   e_E_ p_p_","CORR_RESPONSE","f_f_   e_E_ p_p_","f","E","p","","","","fEp","fEp"
"  fiss","Tr90",NA,"L","f_f_  i_I_ ss_s_","CORR_RESPONSE","f_f_  i_I_ ss_s_","f","I","s","","","","fIs","fIs"
"  fod","Tr90",NA,"L","f_f_  o_A_ d_d_","CORR_RESPONSE","f_f_  o_A_ d_d_","f","A","d","","","","fAd","fAd"
"  foon","Tr90",NA,"L","f_f_   oo_u_ n_n_","CORR_RESPONSE","f_f_   oo_u_ n_n_","f","u","n","","","","fun","fun"
"  goan","Tr90",NA,"L","g_g_   oa_ou_ n_n_","CORR_RESPONSE","g_g_   oa_ou_ n_n_","g","ou","n","","","","goun","g8n"
"  haip","Tr90",NA,"L","h_h_ ai_e_ p_p_","CORR_RESPONSE","h_h_ ai_e_ p_p_","h","e","p","","","","hep","hep"
"  jeeb","Tr90",NA,"L","j_dZ_  ee_i_ b_b_","CORR_RESPONSE","j_dZ_  ee_i_ b_b_","dZ","i","b","","","","dZib","Jib"
"  juf","Tr90",NA,"L","j_dZ_  u_V_ f_f_","CORR_RESPONSE","j_dZ_  u_V_ f_f_","dZ","V","f","","","","dZVf","JVf"
"  jul","Tr90",NA,"L","j_dZ_  u_@_ l_5_","CORR_RESPONSE","j_dZ_  u_@_ l_5_","dZ","@","5","","","","dZ@5","J@5"
"  leck","Tr90",NA,"L","l_l_  e_E_ ck_k_","CORR_RESPONSE","l_l_  e_E_ ck_k_","l","E","k","","","","lEk","lEk"
"  leem","Tr90",NA,"L","l_l_  ee_i_ m_m_","CORR_RESPONSE","l_l_  ee_i_ m_m_","l","i","m","","","","lim","lim"
"  loash","Tr90",NA,"L","l_l_ oa_ou sh_S_","CORR_RESPONSE","l_l_ oa_ou_ sh_S_","l","ou","S","","","","louS","l8S"
"  meesh","Tr90",NA,"L","m_m_ ee_i_ sh_S_","CORR_RESPONSE","m_m_ ee_i_ sh_S_","m","i","S","","","","miS","miS"
"  paf","Tr90",NA,"L","p_p_ a_a_  f_f_","CORR_RESPONSE","p_p_ a_a_  f_f_","p","a","f","","","","paf","paf"
"  paig","Tr90",NA,"L","p_p_  ai_e_ g_g_","CORR_RESPONSE","p_p_  ai_e_ g_g_","p","e","g","","","","peg","peg"
"  soag","Tr90",NA,"L","s_s_ oa_ou_ g_g_","CORR_RESPONSE","s_s_ oa_ou_ g_g_","s","ou","g","","","","soug","s8g"
"  taich","Tr90",NA,"L","t_t_ ai_e_ ch_tS_","CORR_RESPONSE","t_t_ ai_e_ ch_tS_","t","e","tS","","","","tetS","teQ"
"  veeg","Tr90",NA,"L","v_v_ ee_i_ g_g_","CORR_RESPONSE","v_v_ ee_i_ g_g_","v","i","g","","","","vig","vig"
"  vep","Tr90",NA,"L","v_v_   e_E_ p_p_","CORR_RESPONSE","v_v_   e_E_ p_p_","v","E","p","","","","vEp","vEp"
"  vud","Tr90",NA,"L","v_v_  u_V_ d_d_","CORR_RESPONSE","v_v_  u_V_ d_d_","v","V","d","","","","vVd","vVd"
"  yol","Tr90",NA,"L","y_j_  o_ou_ l_5","CORR_RESPONSE","y_j_  o_ou_ l_5_","j","ou","5","","","","jou5","j85"
" chol","Tr90",NA,"L","ch_tS_ o_ou_ l_5","CORR_RESPONSE","ch_tS_ o_ou_ l_5_","tS","ou","5","","","","tSou5","Q85"
" choub","Tr90",NA,"L","ch_tS_ ou_aU b_b_","CORR_RESPONSE","ch_tS_ ou_aU_ b_b_","tS","aU","b","","","","tSaUb","Q7b"
" chud","Tr90",NA,"L","ch_tS_   u_V_ d_d_","CORR_RESPONSE","ch_tS_   u_V_ d_d_","tS","V","d","","","","tSVd","QVd"
"keat","p20","p20","E","k_k_ ea_i_ t_t_","GP_RESPONSE","k_k_ ea_i_ t_t_","k","i","t","","","","kit","kit"
"keat","p20","p20","E","k_k_ ea_E_ t_t_","ALT_RESPONSE","k_k_ ea_E_ t_t_","k","E","t","","","","kEt","kEt"
"pove","p20","p20","E","p_p_ o~e_ou_ v_v_","GP_RESPONSE","p_p_ o~e_ou_ v_v_","p","ou","v","","","","pouv","p8v"
"pove","p20","p20","E","p_p_ o~e_V_ v_v_","ALT_RESPONSE","p_p_ o~e_V_ v_v_","p","V","v","","","","pVv","pVv"
"vown","p20","p20","E","v_v_ ow_aU_ n_n_","GP_RESPONSE","v_v_ ow_aU_ n_n_","v","aU","n","","","","vaUn","v7n"
"vown","p20","p20","E","v_v_ ow_ou_ n_n_","ALT_RESPONSE","v_v_ ow_ou_ n_n_","v","ou","n","","","","voun","v8n"
"wook","p20","p20","E","w_w_ oo_u_ k_k_","GP_RESPONSE","w_w_ oo_u_ k_k_","w","u","k","","","","wuk","wuk"
"wook","p20","p20","E","w_w_ oo_U_ k_k_","ALT_RESPONSE","w_w_ oo_U_ k_k_","w","U","k","","","","wUk","wUk"
"zow","p20","p20","E","z_z_ ow_aU_","GP_RESPONSE","z_z_ ow_aU_","z","aU","","","","","zaU","z7"
"zow","p20","p20","E","z_z_ ow_ou_","ALT_RESPONSE","z_z_ ow_ou_","z","ou","","","","","zou","z8"
"pown","p20","p20","E","p_p_ ow_aU_ n_n_","GP_RESPONSE","v_v_ ow_aU_ n_n_","v","aU","n","","","","vaUn","v7n"
"pown","p20","p20","E","p_p_ ow_ou_ n_n_","ALT_RESPONSE","v_v_ ow_ou_ n_n_","v","ou","n","","","","voun","v8n"
"zoot","p20","p20","E","z_z_ oo_u_ t_t_","GP_RESPONSE","z_z_ oo_u_ t_t_","z","u","t","","","","zut","zut"
"zoot","p20","p20","E","z_z_ oo_U_ t_t_","ALT_RESPONSE","z_z_ oo_U_ t_t_","z","U","t","","","","zUt","zUt"
"vead","p20","p20","E","v_v_ ea_i_ d_d_","GP_RESPONSE","v_v_ ea_i_ d_d_","v","i","d","","","","vid","vid"
"vead","p20","p20","E","v_v_ ea_E_ d_d_","ALT_RESPONSE","v_v_ ea_E_ d_d_","v","E","d","","","","vEd","vEd"
"vind","p20","p20","E","v_v_ i_I_ n_n_ d_d_","GP_RESPONSE","v_v_ i_I_ n_n_ d_d_","v","I","n","d","","","vInd","vInd"
"vind","p20","p20","E","v_v_ i_aI_ n_n_ d_d_","ALT_RESPONSE","v_v_ i_aI_ n_n_ d_d_","v","aI","n","d","","","vaInd","v9nd"
"sull","p20","p20","E","s_s_ u_V_ ll_5_","GP_RESPONSE","s_s_ u_V_ ll_5_","s","V","5","","","","sV5","sV5"
"sull","p20","p20","E","s_s_ u_U_ ll_5_","ALT_RESPONSE","s_s_ u_U_ ll_5_","s","U","5","","","","sU5","sU5"
"zove","p20","p20","E","z_z_ o~e_ou_ v_v_","GP_RESPONSE","z_z_ o~e_ou_ v_v_","z","ou","v","","","","zouv","z8v"
"zove","p20","p20","E","z_z_ o~e_V_ v_v_","ALT_RESPONSE","z_z_ o~e_V_ v_v_","z","V","v","","","","zVv","zVv"
"zull","p20","p20","E","z_z_ u_V_ ll_5_","GP_RESPONSE","z_z_ u_V_ ll_5_","z","V","5","","","","zV5","zV5"
"zull","p20","p20","E","z_z_ u_U_ ll_5_","ALT_RESPONSE","z_z_ u_U_ ll_5_","z","U","5","","","","zU5","zU5"
"vut","p20","p20","E","v_v_ u_V_ t_t_","GP_RESPONSE","v_v_ u_V_ t_t_","v","V","t","","","","vVt","vVt"
"vut","p20","p20","E","v_v_ u_U_ t_t_","ALT_RESPONSE","v_v_ u_U_ t_t_","v","U","t","","","","vUt","vUt"
"jint","p20","p20","E","j_dZ_ i_I_ n_n_ t_t_","GP_RESPONSE","j_dZ_ i_I_ n_n_ t_t_","dZ","I","n","t","","","dZInt","JInt"
"jint","p20","p20","E","j_dZ_ i_aI_ n_n_ t_t_","ALT_RESPONSE","j_dZ_ i_aI_ n_n_ t_t_","dZ","aI","n","t","","","dZaInt","J9nt"
"zeat","p20","p20","E","z_z_ ea_i_ t_t_","GP_RESPONSE","z_z_ ea_i_ t_t_","z","i","t","","","","zit","zit"
"zeat","p20","p20","E","z_z_ ea_E_ t_t_","ALT_RESPONSE","z_z_ ea_E_ t_t_","z","E","t","","","","zEt","zEt"
"zint","p20","p20","E","z_z_ i_I_ n_n_ t_t_","GP_RESPONSE","z_z_ i_I_ n_n_ t_t_","z","I","n","t","","","zInt","zInt"
"zint","p20","p20","E","z_z_ i_aI_ n_n_ t_t_","ALT_RESPONSE","z_z_ i_aI_ n_n_ t_t_","z","aI","n","t","","","zaInt","z9nt"
"fow","p20","p20","E","f_f_ ow_aU_","GP_RESPONSE","f_f_ ow_aU_","f","aU","","","","","faU","f7"
"fow","p20","p20","E","f_f_ ow_ou_","ALT_RESPONSE","f_f_ ow_ou_","f","ou","","","","","fou","f8"
"vone","p20","p20","E","v_v_ o~e_ou_ n_n_","GP_RESPONSE","v_v_ o~e_ou_ n_n_","v","ou","n","","","","voun","v8n"
"vone","p20","p20","E","v_v_ o~e_V_ n_n_","ALT_RESPONSE","v_v_ o~e_V_ n_n_","v","V","n","","","","vVn","vVn"
"nind","p20","p20","E","n_n_ i_I_ n_n_ d_d_","GP_RESPONSE","n_n_ i_I_ n_n_ d_d_","n","I","n","d","","","nInd","nInd"
"nind","p20","p20","E","n_n_ i_aI_ n_n_ d_d_","ALT_RESPONSE","n_n_ i_aI_ n_n_ d_d_","n","aI","n","d","","","naInd","n9nd"
"jook","p20","p20","E","j_dZ_ oo_u_ k_k_","GP_RESPONSE","j_dZ_ oo_u_ k_k_","dZ","u","k","","","","dZuk","Juk"
"jook","p20","p20","E","j_dZ_ oo_U_ k_k_","ALT_RESPONSE","j_dZ_ oo_U_ k_k_","dZ","U","k","","","","dZUk","JUk"
"plone","p20","p20","E","p_p_ l_l_ o~e_ou_ n_n_","GP_RESPONSE","p_p_ l_l_ o~e_ou_ n_n_","p","l","ou","n","","","ploun","pl8n"
"plone","p20","p20","E","p_p_ l_l_ o~e_V_ n_n_","ALT_RESPONSE","p_p_ l_l_ o~e_V_ n_n_","p","l","V","n","","","plVn","plVn"
"dut","p20","p20","E","d_d_ u_V_ t_t_","GP_RESPONSE","d_d_ u_V_ t_t_","d","V","t","","","","dVt","dVt"
"dut","p20","p20","E","d_d_ u_U_ t_t_","ALT_RESPONSE","d_d_ u_U_ t_t_","d","U","t","","","","dUt","dUt"
"voot","p20","p20","E","v_v_ oo_u_ t_t_","GP_RESPONSE","v_v_ oo_u_ t_t_","v","u","t","","","","vut","vut"
"voot","p20","p20","E","v_v_ oo_U_ t_t_","ALT_RESPONSE","v_v_ oo_U_ t_t_","v","U","t","","","","vUt","vUt"
"jead","p20","p20","E","j_dZ_ ea_i_ d_d_","GP_RESPONSE","j_dZ_ ea_i_ d_d_","dZ","i","d","","","","dZid","Jid"
"jead","p20","p20","E","j_dZ_ ea_E_ d_d_","ALT_RESPONSE","j_dZ_ ea_E_ d_d_","dZ","E","d","","","","dZEd","JEd"
